year,citation_count,cumulative_citations,dataset,doi,openalex_id
2012,4,4,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2013,7,11,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2014,7,18,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2015,12,30,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2016,10,40,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2017,11,51,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2018,9,60,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2019,13,73,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2020,27,100,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2021,24,124,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2022,13,137,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2023,14,151,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2024,10,161,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
2025,13,174,MIMIC-I,10.1109/CIC.1996.542622,https://openalex.org/W2169713586
